year,rank,player_id,player_name,name_slug,profile_url,position,school,current_team,current_org,current_level,current_age,bats,throws,birth_date,birth_country,height,weight,profile_image_url,eta,player_draft_year,player_draft_round,player_draft_pick_number,player_draft_team_id,player_draft_team_name,scouting_grades_text,bio_text,years_since_draft,hit,power,run,arm,field,overall,fastball,curveball,changeup,control,slider,cutter,splitter,change,defense,knuckleball,forkball
2015,1,663898,Brendan Rodgers,brendan-rodgers-663898,https://www.mlb.com/milb/prospects/2015/draft/brendan-rodgers-663898,2B/SS,Lake Mary (FL),Worcester Red Sox,Boston Red Sox,AAA,29,R,R,1996-08-09,USA,"6' 0""",204,,2020,2015,1,3.0,115.0,,Hit: 55 | Power: 60 | Run: 55 | Arm: 60 | Field: 55 | Overall: 60,"Scouting grades: Hit: 55 | Power: 60 | Run: 55 | Arm: 60 | Field: 55 | Overall: 60 Ranked No. 1 on MLB.com's Draft Top 200 entering the 2015 Draft, Rodgers went No. 3 overall to the Rockies and signed for $5.5 million, more than $700,000 below the assigned pick value. The Orlando area high schooler has gotten considerably stronger in the last year and he generates power with an easy, compact stroke. He doesn't have to muscle up to hit home runs, and his bat speed and all-fields approach bode well for his ability to hit for average as a pro. He's a quality athlete with solid speed and above-average arm strength, one who draws comparisons to the Cubs' Addison Russell. There's a split camp as to whether Rodgers can remain at shortstop, though he has soft hands and good instincts. Should he move to third, he'd be an outstanding defender there, one whose power potential would fit the offensive profile for the position well.",0.0,60,55,45,55,55,55,,,,,,,,,,,
2015,2,621020,Dansby Swanson,dansby-swanson-621020,https://www.mlb.com/milb/prospects/2015/draft/dansby-swanson-621020,SS,Vanderbilt,Chicago Cubs,,MLB,32,R,R,1994-02-11,USA,"6' 0""",190,,,2015,1,1.0,109.0,,"Hit: 60 | Power: 45 | Run: 60 | Arm: 55 | Field: 55 | Overall: 60 Swanson's Vanderbilt career started slowly, but he was the Most Outstanding Player in the 2014 College World Series, then helped the Commodores get back to the championship series again in 2015 en route to becoming the No. 1 pick in the Draft","Scouting grades: Hit: 60 | Power: 45 | Run: 60 | Arm: 55 | Field: 55 | Overall: 60 Swanson's Vanderbilt career started slowly, but he was the Most Outstanding Player in the 2014 College World Series, then helped the Commodores get back to the championship series again in 2015 en route to becoming the No. 1 pick in the Draft. He signed right at the deadline for the highest bonus in the class, $6.5 million, still well below the assigned pick value. His debut was delayed after getting hit by a Yoan Lopez pitch during a simulated game, though he did return to get in 22 Northwest League games. He was the top prospect sent to the Braves in the huge Shelby Miller deal at the 2015 Winter Meetings. The top college position player in the Draft class, Swanson moved from second base to shortstop for his junior season and showed everyone he can stay there. Most scouts believe he has the quickness and arm strength to stay at the position long-term, even though he hadn't played there since he was a Georgia high schooler in 2012, when the Rockies drafted him in the 38th round. Swanson is a technically sound hitter who fits at the top of his lineup with his on-base ability and speed. He showed as a junior that there might be Major League average power in his bat as well. His makeup is off the charts and universally praised by coaches and scouts.",0.0,60,45,60,55,55,"60 Swanson's Vanderbilt career started slowly, but he was the Most Outstanding Player in the 2014 College World Series, then helped the Commodores get back to the championship series again in 2015 en route to becoming the No. 1 pick in the Draft",,,,,,,,,,,
2015,3,608334,Carson Fulmer,carson-fulmer-608334,https://www.mlb.com/milb/prospects/2015/draft/carson-fulmer-608334,RHP,Vanderbilt,Indianapolis Indians,Pittsburgh Pirates,AAA,32,R,R,1993-12-13,USA,"6' 0""",210,,,2015,1,8.0,145.0,,Fastball: 70 | Curveball: 60 | Changeup: 50 | Control: 50 | Overall: 55,"Scouting Grades: Fastball: 70 | Curveball: 60 | Changeup: 50 | Control: 50 | Overall: 55 When Fulmer moved from closer to starter midway through his sophomore year, he didn't alllow a run in his first 29 2/3 innings and sparked Vanderbilt to the 2014 College World Series title. He was college baseball's best pitcher in 2015, leading NCAA Division I in wins (14) and ranking second in strikeouts (167 in 127 2/3 innings) as the Commodores came up one victory short of repeating as champions. The White Sox drafted him eighth overall and signed him for $3,470,600. Fulmer has an electric arm that delivers 93-97 mph fastballs and power curveballs that elicit a lot of swings and misses. His changeup is an effective third pitch, so there's no question that he has the arsenal required of a starter. Because Fulmer lacks size and works with a high-energy delivery, some scouts think d better off as a reliever. But he maintains quality stuff from game to game and deep into outings, and Chicago believes it has a frontline starter on its hands. Fine-tuning his command would help him reach that projection.",0.0,,,,,,55,70,60,50,50,,,,,,,
2015,4,608324,Alex Bregman,alex-bregman-608324,https://www.mlb.com/milb/prospects/2015/draft/alex-bregman-608324,SS/3B,Louisiana State,Chicago Cubs,,MLB,32,R,R,1994-03-30,USA,"5' 10""",190,,,2012,29,901.0,111.0,,Hit: 60 | Power: 50 | Run: 50 | Arm: 55 | Field: 50 | Overall: 60,"Scouting grades: Hit: 60 | Power: 50 | Run: 50 | Arm: 55 | Field: 50 | Overall: 60 Bregman ranked as one of the best pure prep hitters in the 2012 Draft, but a broken finger and a strong commitment to Louisiana State dropped him to the Red Sox in the 29th round. He quickly established himself as one of the top bats in college baseball and after starring for three years with the Tigers, he went No. 2 overall in the 2015 Draft. He signed for $5.9 million and went straight to low Class A. Bregman has an unconventional right-handed swing, but he barrels balls consistently because he has outstanding bat speed and mastery of the strike zone. He has some pull power and could produce 20 or more homers annually if he adds some loft to his stroke. An average runner, he plays quicker than that on the bases and in the field because of his superb instincts. With his size, toolset, aggressive nature and tremendous makeup, Bregman regularly draws comparisons to Dustin Pedroia. Unlike Pedroia, he may be able to play shortstop in the big leagues. He looked better defensively as a junior, and his arm and feel for the game allow him to make plays at short.",3.0,60,50,50,55,50,60,,,,,,,,,,,
2015,5,622253,Dillon Tate,dillon-tate-622253,https://www.mlb.com/milb/prospects/2015/draft/dillon-tate-622253,RHP,UC Santa Barbara,Toronto Blue Jays,,MLB,32,R,R,1994-05-01,USA,"6' 2""",190,,2020,2015,1,4.0,140.0,,Fastball: 70 | Slider: 65 | Changeup: 55 | Control: 50 | Overall: 55,"Scouting Grades: Fastball: 70 | Slider: 65 | Changeup: 55 | Control: 50 | Overall: 55 Tate pitched just three innings as a freshman at UC Santa Barbara, then became the Gauchos' closer and starred with the U.S. collegiate national team as a sophomore. Moved to the rotation this spring, he emerged as a candidate for the No. 1 overall pick in the Draft and went fourth to the Rangers, who signed him for $4.2 million. Tate had the best pure stuff in Team USA's talented bullpen, and he was able to maintain it as a starter. He has two well above-average pitches, pairing a lively 92-98 mph fastball with a sharp 85-89 mph slider. His changeup has improved since he began throwing it more often and could give him a solid third offering. His stuff faded a bit toward the end of the college season as he blew well past his career high in innings, but most scouts believe Tate can make it as a starter. His athleticism helps him throw strikes and bodes well for his durability and his ability to smooth out a delivery that features some effort.",0.0,,,,,,40,50,45,55,45,50,,,,,,
2015,6,663662,Daz Cameron,daz-cameron-663662,https://www.mlb.com/milb/prospects/2015/draft/daz-cameron-663662,OF,Eagle's Landing Christian (GA),Nashville Sounds,Milwaukee Brewers,,29,R,R,1997-01-15,USA,"6' 0""",185,,2021,2015,CB-A,37.0,117.0,,Hit: 50 | Power: 50 | Run: 60 | Arm: 55 | Field: 55 | Overall: 50,"Scouting grades: Hit: 50 | Power: 50 | Run: 60 | Arm: 55 | Field: 55 | Overall: 50 The Astros made a haul early in the 2015 Draft, taking future big leaguers Alex Bregman and Kyle Tucker within the top five picks before selecting Cameron at No. 37 overall and signing him for $4 million. Viewed as someone who might need extra time to develop in the Minors, Cameron was overmatched in his first taste of full-season ball in 2016, and he also struggled at the outset of 2017 before things started to click. He was finishing off a fantastic second half in the Midwest League when the Astros packaged him with Franklin Perez and Jake Rogers to the Tigers for Justin Verlander. He began to put it all together in 2018, ascending from high Class A to Triple-A at age 21 before a standout turn in the Arizona Fall League. The son of former big league center fielder Mike Cameron, Daz has the chance to be an impactful up-the-middle big leaguer as well. Mechanical changes that put him in a better position to hit made a huge difference and contributed directly to his turnaround at the plate. Perhaps more importantly, Cameron has developed a real approach at the plate, showing selective aggressiveness with a hit-to-all fields mentality early in the count. He's started to tap into some power, too, and some scouts believe he'll be a 15-20-homer guy in the big leagues. A plus runner and overall graceful athlete, Cameron can steal a base but will have to learn to be more efficient in the future. That speed to go along with plus defensive instincts will allow him to stay in center for the long haul, and he has the arm strength needed for an outfield corner. Cameron's ceiling is still coming into focus, but all the pieces are there for him to develop into an everyday center fielder at the highest level.",0.0,45,45,55,50,60,50,,,,,,,,,,,
2015,7,663656,Kyle Tucker,kyle-tucker-663656,https://www.mlb.com/milb/prospects/2015/draft/kyle-tucker-663656,OF,Plant (FL),Los Angeles Dodgers,,,29,L,R,1997-01-17,USA,"6' 3""",212,,,2015,1,5.0,117.0,,Hit: 60 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 55,"Scouting grades: Hit: 60 | Power: 55 | Run: 50 | Arm: 55 | Field: 50 | Overall: 55 Preston Tucker has added power and much-needed outfield depth to the Astros' big league club this season. A few years from now, he could be joined in Houston by his younger brother, who has a higher ceiling. The fifth overall pick in the 2015 Draft and the recipient of a $4 million bonus, Kyle is a more well-rounded player and more advanced at the same stage than Preston was. Perhaps the best pure hitter in the 2015 high school crop, Tucker has a selective approach and makes consistent hard contact from the left side of the plate. Once he fills out his lanky 6-foot-4 frame, he could be a .280-plus hitter with 20 or more homers per season. An average runner who played center field at Tampa's Plant High -- Hall of Famer Wade Boggs' alma mater -- Tucker profiles best as a right fielder. He saw action at both positions in his pro debut and has the solid arm needed for right field.",0.0,50,,65,,,45,40,50,,,30,,,,,,
2015,8,643217,Andrew Benintendi,andrew-benintendi-643217,https://www.mlb.com/milb/prospects/2015/draft/andrew-benintendi-643217,OF,Arkansas,Chicago White Sox,,,31,L,L,1994-07-06,USA,"5' 9""",185,,,2013,31,945.0,113.0,,Hit: 60 | Power: 55 | Run: 60 | Arm: 50 | Field: 60 | Overall: 55,"Scouting grades: Hit: 60 | Power: 55 | Run: 60 | Arm: 50 | Field: 60 | Overall: 55 Benintendi hit one home run while hampered by injuries as an Arkansas freshman in 2014 then broke out and topped NCAA Division I with 20 as a sophomore. He also batted .376/.488/.717 with 24 steals, led the Razorbacks to the College World Series and swept all of the major college-player-of-the-year awards. The Red Sox drafted him seventh overall and signed him for $3,590,400. A former Ohio state Division III baseball and basketball player of the year, Benintendi is a fine athlete who had the best all-around tools of any college player in the 2015 Draft. While he's not physically imposing, his quick left-handed stroke and his deceptive strength give him legitimate power. He also has a patient approach at the plate which bodes well for his ability to post high batting averages and on-base percentages. With his plus speed and keen instincts, Benintendi is a basestealing threat and a quality defender in center field. His worst tool is his arm, yet it grades as average and allows him to play any of the three outfield positions.",2.0,60,55,60,50,60,55,,,,,,,,,,,
2015,9,664079,Tyler Jay,tyler-jay-664079,https://www.mlb.com/milb/prospects/2015/draft/tyler-jay-664079,LHP,Illinois,Nashville Sounds,Milwaukee Brewers,,32,L,L,1994-04-19,USA,"6' 0""",191,,,2015,1,6.0,142.0,,,"Scouting grades : Fastball: 65 | Curveball: 55 | Slider: 60 | Changeup: 50 | Control: 60 | Overall: 55 Jay parlayed a dominant junior season out of the bullpen for an Illinois team that won 27 straight games this spring into becoming the top lefty in the Draft class and the No. 6 overall pick. The Twins gave him full pick value at $3,889,500, signing him quickly and sending him straight to the Class A Advanced Florida State League for his debut. Not particularly physical at 6-foot-1 and 175 pounds, Jay's fastball nonetheless works at 93-95 mph and peaks at 98 mphl, even when he has worked on consecutive days. He generates that heat with athleticism and a quick arm rather than an excessive amount of effort in his delivery. Jay has a deeper repertoire than most relievers. His plus slider is his second-best pitch, and he also has a curveball with power and depth and shows signs of an interesting changeup. His array of pitches and control should lead the Twins to develop him as a starter, though he began his pro career in the bullpen with a chance to move him up the ladder quickly if needed.",0.0,,,,,,,,,,,,,,,,,
2015,10,622247,Jon Harris,jon-harris-622247,https://www.mlb.com/milb/prospects/2015/draft/jon-harris-622247,RHP,Missouri State,New Hampshire Fisher Cats,Toronto Blue Jays,,32,R,R,1993-10-16,USA,"6' 4""",175,,,2012,33,1015.0,141.0,,Fastball: 65 | Curveball: 55 | Slider: 55 | Changeup: 55 | Control: 50 | Overall: 55,"Scouting Grades: Fastball: 65 | Curveball: 55 | Slider: 55 | Changeup: 55 | Control: 50 | Overall: 55 With the exception of Dillon Tate, Harris boosted his stock as much as any college pitcher this spring. After taking him in the 33rd round out of high school three years earlier, the Blue Jays were delighted to find him available at the 29th overall pick and signed him for $1,944,800. He's part of the Missouri State pitching factory that has sent nine hurlers to the big leagues in the past 10 years. Harris works comfortably at 92-94 mph with his fastball, which plays better than its plus velocity. His heater features run and sink, and he uses his height to deliver it on a downhill plane. There's still room for added strength on his lanky frame, so he could throw harder in the future. All three of Harris' others pitches grades as plus at times. His breaking balls have power and depth, and he has improved and learned to trust his changeup. He also has bettered his control and command, though they'll require additional refinement.",3.0,,,,,,55,65,55,55,50,55,,,,,,
