"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"1","Roch Cholowsky","Roch Cholowsky","https://www.prepbaseballreport.com/profiles/AZ/Roch-Cholowsky-8192345607-7562419038","AZ","SS","UCLA","","+ Outside of SS Roch Cholowsky (UCLA) being the presumptive first overall pick, this draft feels like it is still, very much, in flux. There are a number of different directions that clubs can go in, and the buzz from different pockets of the country is likely to come in waves as the season rolls on. Constant evaluations and affirmations will need to be made right up until draft night from each scouting department.","UCLA","6' 2""","190","2023","6.94","96.1","83.9","81","78","5","22.0","","","","","","","","","","","","",""
"2","Justin Lebron","Justin Lebron","https://www.prepbaseballreport.com/profiles/FL/Justin-Lebron-7526348901","FL","SS","Alabama","","","Archbishop McCarthy (HS) / FL","6' 1""","180","2023","","","","","","","","(6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Contact Best Of Stats","21yr 6mo","R","R","East Coast Sox 17U National","","","","","","","",""
"3","Jacob Lombard","Jacob Lombard","https://www.prepbaseballreport.com/profiles/FL/Jacob-Lombard-9870514326-8534129670","FL","SS","Gulliver Prep HS (FL)","FL","","Gulliver Prep (HS) / FL","6' 2""","192.9","2026","","106.8","81.9","77","","","22.4","(11/05/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 7mo","R","R","San Diego Padres Scout Team","","","","","","","",""
"4","Tyler Spangler","Tyler Spangler","https://www.prepbaseballreport.com/profiles/CA/Tyler-Spanger-3849051267","CA","SS","De La Salle HS (CA)","CA","","De La Salle (HS) / CA","6' 3""","190","2026","7.25","94.8","","80","","","","","18yr 7mo","L","R","EJ Warriors","","","","","","","",""
"5","Carson Bolemon","Carson Bolemon","https://www.prepbaseballreport.com/profiles/SC/Carson-Bolemon-4876309521","SC","LHP","Southside Christian (SC)","SC","","Southside Christian (HS) / SC","6' 2""","209.4","2026","","","","","","","","","19yr 1mo","R","L","Canes National","95","81-82","83-84","89-89","2510","","",""
"6","Gio Rojas","Gio Rojas","https://www.prepbaseballreport.com/profiles/FL/Gio-Rojas-9816524073-8916320547","FL","LHP","Stoneman Douglas (FL)","FL","","Stoneman Douglas (HS) / FL","6' 3""","180.6","2026","6.87","","","","","","","(8/06/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 10mo","R","L","USA Prime/Aces National","98","76-80","82-86","82-84","2658","","",""
"7","Grady Emerson","Grady Emerson","https://www.prepbaseballreport.com/profiles/TX/Grady-Emerson-1234685970","TX","SS","Fort Worth Christian HS (TX)","TX","","Fort Worth Christian (HS) / TX","6' 1""","175.3","2026","7.00","102.4","83.4","90","","","24.1","s Advanced Search Contact Contact PBR Texas Staff Directory Internships Texas State Games 2025 (Upperclass) 2025 (Underclass) 2024 (Upperclass) 2024 (Underclass) 2023 2022 Shop CLASS OF 2026 SS 2B","18yr 3mo","L","R","Canes National","90","76 - 76","","","","","",""
"8","Coleman Borthwick","Coleman Borthwick","https://www.prepbaseballreport.com/profiles/FL/Coleman-Borthwick-8764529310","FL","RHP/3B","South Walton HS (FL)","FL","+ RHP Coleman Borthwick (South Walton HS, FL) has separated himself as the premier right-hander in the class thanks to explosive stuff, incessant strike-throwing ability, and of course, his massive 6-foot-6, 245-pound frame. Both RHP Cole Koeninger (Keller HS, TX) and RHP Kaden Waechter (Jesuit HS, FL) also hold intrinsic top end value and should see a steady rise throughout the spring. But there are only so many picks in the first round, and with this year?s crop of prep right-handers, clubs further down the board are likely to be salivating over the talent pool. The separation from ranks Nos. 4 through 40 amongst the group does not feel all that significant, and even if a large number sign contracts in July, it feels almost a certainty that college baseball will be receiving an influx of elite arms next year.","South Walton (HS) / FL","6' 6""","254","2026","7.09","107.0","80.7","92","5","","25.1","(6/11/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 1mo","R","R","Aces National","98","80-83","84-87","85-87","2661","17","",""
"9","Logan Schmidt","Logan Schmidt","https://www.prepbaseballreport.com/profiles/CA/Logan--Schmidt--7648315092","CA","LHP","Ganesha HS (CA)","CA","","Ganesha (HS) / CA","6' 4""","220","2026","7.87","84","","82","3","","","(8/28/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","17yr 9mo","L","L","BPA","96","76-78","63-66","78-81","2132","202","",""
"10","Ace Reese","Ace Reese","https://www.prepbaseballreport.com/profiles/TX/ace-Reese-9825436710","TX","3B","Mississippi State","","","Canton (HS) / TX","6' 2""","210","2023","7.28","95.1","78.1","79","85","","24.6","(6/07/24) Houston (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 1mo","L","R","5 Star Performance","","","","","","","",""
"11","Caden Sorrell","Caden Sorrell","https://www.prepbaseballreport.com/profiles/TX/Caden-Sorrell-8071456239","TX","OF","Texas A&M","","","Texas A&M","6' 4""","205","2023","6.46","101","79.9","95","95","","25.5","Texas A&M (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 2mo","L","L","UBC","87.2","70.9-73.8","73 - 74.6","76.5-77.9","2037","","",""
"12","Jackson Flora","Jackson Flora","https://www.prepbaseballreport.com/profiles/CA/Jackson-Flora-4902738615-3980764251","CA","RHP","UC Santa Barbara","","","Foothill (HS) / CA","6' 5""","200","2023","","","","","","","","","","","","NorCal","93","72-74","76-79","81-82","","","",""
"13","Eric Booth Jr.","Eric EJ Booth Jr.","https://www.prepbaseballreport.com/profiles/MS/Eric-Booth-Jr.--9318452076","MS","OF","Oak Grove HS (MS)","MS","+ OF Eric Booth Jr. (Oak Grove HS, MS) was a sleeper first-rounder coming out of the summer, but has asserted himself as a must-have talent for MLB clubs thanks to an enticing upside of athleticism that pairs well next to a polished hitting approach. The plus-runner who routinely barrels triple-digit exit velocities, Booth is a sneaky top-10 pick whose continued spring success will only serve to mitigate risk. His chief competition as the top high school outfielder stands to be OF Blake Bowen (JSerra Catholic HS, CA) who has only gotten better with each look. Always an athletic outlier with impressive impact and acceleration at 6-foot-2, 215-pounds, his ability to polish the hit-tool, especially with contact rates, is what has boosted his stock into strong first round potential.","Oak Grove (HS) / MS","5' 11""","218.7","2026","6.25","105.0","89.8","85","85","","24.6","Vanderbilt (12/13/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","17yr 10mo","L","L","EBC","","","","","","","",""
"14","James Clark","James Clark","https://www.prepbaseballreport.com/profiles/CA/James-Clark-3201879546","CA","SS","St. John Bosco HS (CA)","CA","+ The steady climb and sleeper status of SS James Clark (St. John Bosco HS, CA) can no longer be hidden as the ultra-talented, 6-foot-1, 195-pound shortstop continues to leave no doubt as to his status as a premier position player in the class. A consummate performer whose swing decisions and pitch recognition from the left side stand out as advanced, he is sure-handed, and the helium that has risen since last June still carries a path to a top-10 selection in July.","St. John Bosco (HS) / CA","6' 1""","195","2026","7.46","84.0","64.9","77","","","20.8","(2/25/26) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","18yr 8mo","L","R","Stacked","","","","","","","",""
