"athlete_id","player_name","team","position","headshot_url"
"184812","Calvin Moore","Cal Poly","CB","https://a.espncdn.com/i/headshots/college-football/players/full/184812.png"
"233186","Josh Jenkins","Holy Cross","QB","https://a.espncdn.com/i/headshots/college-football/players/full/233186.png"
"245322","Marcus Patterson","Kennesaw State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/245322.png"
"385738","Jacob Johnson","Samford","LB","https://a.espncdn.com/i/headshots/college-football/players/full/385738.png"
"504059","Jay Williams","Alabama","LS","https://a.espncdn.com/i/headshots/college-football/players/full/504059.png"
"518239","Austin Brown","Charleston Southern","CB","https://a.espncdn.com/i/headshots/college-football/players/full/518239.png"
"550577","Jordan Brown","Fresno State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/550577.png"
"552356","Chris Smith","Temple","OL","https://a.espncdn.com/i/headshots/college-football/players/full/552356.png"
"553348","Jack Ryder","Villanova","QB","https://a.espncdn.com/i/headshots/college-football/players/full/553348.png"
"560158","Eric Jones","Elon","DB","https://a.espncdn.com/i/headshots/college-football/players/full/560158.png"
"560242","Daniel King","Southern Utah","PK","https://a.espncdn.com/i/headshots/college-football/players/full/560242.png"
"560263","Joshua Robinson","Lindenwood","OL","https://a.espncdn.com/i/headshots/college-football/players/full/560263.png"
"560264","Gavin Brooks","Gardner-Webb","OL","https://a.espncdn.com/i/headshots/college-football/players/full/560264.png"
"560268","Kwasie Kwaku Jr.","Bethune-Cookman","S","https://a.espncdn.com/i/headshots/college-football/players/full/560268.png"
"2026848","Jamaal Dinkins","Alabama A&M","OL","https://a.espncdn.com/i/headshots/college-football/players/full/2026848.png"
"2094390","Michael Dansby","Arizona","DB","https://a.espncdn.com/i/headshots/college-football/players/full/2094390.png"
"3116099","Monte Harrison","Arkansas","WR","https://a.espncdn.com/i/headshots/college-football/players/full/3116099.png"
"3149911","Jordan Jackson","Arkansas-Pine Bluff","WR","https://a.espncdn.com/i/headshots/college-football/players/full/3149911.png"
"3911683","Jordan Thomas","The Citadel","RB","https://a.espncdn.com/i/headshots/college-football/players/full/3911683.png"
"3927082","AJ Williams","Austin Peay","OL","https://a.espncdn.com/i/headshots/college-football/players/full/3927082.png"
"3928375","Jordan Franklin","South Carolina State",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/3928375.png"
"3941258","Josiah Graham","Monmouth","DL","https://a.espncdn.com/i/headshots/college-football/players/full/3941258.png"
"3949586","Jake Taylor","Duke","TE","https://a.espncdn.com/i/headshots/college-football/players/full/3949586.png"
"4032497","Jake Helms","Air Force","LS","https://a.espncdn.com/i/headshots/college-football/players/full/4032497.png"
"4036672","Alex Smith","Georgia Southern","P","https://a.espncdn.com/i/headshots/college-football/players/full/4036672.png"
"4039307","Marquez Stevenson","Texas Tech","WR","https://a.espncdn.com/i/headshots/college-football/players/full/4039307.png"
"4040767","Chris Tooley III","Florida Atlantic","CB","https://a.espncdn.com/i/headshots/college-football/players/full/4040767.png"
"4053898","Bam Smith","Tarleton State","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4053898.png"
"4241676","Kordell Rodgers","Texas Southern","TE","https://a.espncdn.com/i/headshots/college-football/players/full/4241676.png"
"4243265","Aliki Vimahi","Utah","DT","https://a.espncdn.com/i/headshots/college-football/players/full/4243265.png"
"4244849","Marcel Williams","Akron","WR","https://a.espncdn.com/i/headshots/college-football/players/full/4244849.png"
"4248034","Cam Wilson","Illinois State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/4248034.png"
"4249886","Michael Davis","Morehead State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/4249886.png"
"4251322","Will Whitson","Mississippi State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4251322.png"
"4258419","Hunter Smith","Temple","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4258419.png"
"4356017","Luke Dalton","Ball State","OL","https://a.espncdn.com/i/headshots/college-football/players/full/4356017.png"
"4360303","David Reese","Syracuse","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4360303.png"
"4360395","Reuben Unije","UCLA","OL","https://a.espncdn.com/i/headshots/college-football/players/full/4360395.png"
"4360862","Brian Norris","Florida A&M","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4360862.png"
"4361000","Moroni Anae","Utah","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4361000.png"
"4362188","Sterling Galban","East Tennessee State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/4362188.png"
"4362190","John Scott III","Fordham","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4362190.png"
"4362263","Jalynn Williams","Pittsburgh","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4362263.png"
"4362791","Brendon Harris","Middle Tennessee","S","https://a.espncdn.com/i/headshots/college-football/players/full/4362791.png"
"4365814","Davion Ross","Idaho State","S","https://a.espncdn.com/i/headshots/college-football/players/full/4365814.png"
"4366640","Solomon Vanhorse","Indiana","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4366640.png"
"4368038","Dathan Hickey","Youngstown State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/4368038.png"
"4374313","Solomon Tuliaupupu","Montana","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4374313.png"
"4379471","Tyler Brown","Clemson","WR","https://a.espncdn.com/i/headshots/college-football/players/full/4379471.png"
"4379523","Zach Lewis","North Dakota","S","https://a.espncdn.com/i/headshots/college-football/players/full/4379523.png"
"4380436","Chinonso Opara","Tennessee Tech","OL","https://a.espncdn.com/i/headshots/college-football/players/full/4380436.png"
"4426333","John Emery Jr.","UTSA","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4426333.png"
"4426382","Makiya Tongue","Oregon State","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4426382.png"
"4426415","Shammond Cooper","Akron","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4426415.png"
"4426417","Jacob Zeno","Texas A&M","QB","https://a.espncdn.com/i/headshots/college-football/players/full/4426417.png"
"4426453","Briton Allen","Miami","DB","https://a.espncdn.com/i/headshots/college-football/players/full/4426453.png"
"4426460","Jackson Lowe","Incarnate Word","TE","https://a.espncdn.com/i/headshots/college-football/players/full/4426460.png"
"4426568","Langston Anderson","Abilene Christian","WR","https://a.espncdn.com/i/headshots/college-football/players/full/4426568.png"
"4426666","Myles Bell","UAlbany","DB","https://a.espncdn.com/i/headshots/college-football/players/full/4426666.png"
"4426670","Matthew Bedford","Oregon","OL","https://a.espncdn.com/i/headshots/college-football/players/full/4426670.png"
"4426674","Jalen Bell","Memphis","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4426674.png"
"4426688","Kaiden Bennett","Delaware State","QB","https://a.espncdn.com/i/headshots/college-football/players/full/4426688.png"
"4426695","De'Jon Benton","Hawai'i","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4426695.png"
"4426703","Mark Biggins","Campbell","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4426703.png"
"4426752","Jack Bouwmeester","Texas","P","https://a.espncdn.com/i/headshots/college-football/players/full/4426752.png"
"4426840","Shadrick Byrd","Prairie View A&M","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4426840.png"
"4426847","Zach Calzada","Kentucky","QB","https://a.espncdn.com/i/headshots/college-football/players/full/4426847.png"
"4426895","Chayce Chalmers","Stony Brook","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4426895.png"
"4426910","Kenan Christon II","Jackson State","RB","https://a.espncdn.com/i/headshots/college-football/players/full/4426910.png"
"4426931","Antonio Clary","Virginia","S","https://a.espncdn.com/i/headshots/college-football/players/full/4426931.png"
"4426967","Anthonie Cooper","Arizona State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4426967.png"
"4426998","Javien Cuff","UT Rio Grande Valley","WR","https://a.espncdn.com/i/headshots/college-football/players/full/4426998.png"
"4427011","Vic Cutler","Louisville","OL","https://a.espncdn.com/i/headshots/college-football/players/full/4427011.png"
"4427017","Levani Damuni","Utah","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4427017.png"
"4427081","Na'Drian Dizadare","UT Martin","LB","https://a.espncdn.com/i/headshots/college-football/players/full/4427081.png"
"4427098","Wyatt Draeger","Towson","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4427098.png"
"4427117","Quindarius Dunnigan","Michigan State","DL","https://a.espncdn.com/i/headshots/college-football/players/full/4427117.png"
