id,avatarUrl,firstName,lastName,height,weight,overallRating,homeTown,homeState,redShirtStatus,jerseyNum,schoolYear,stats_acceleration_value,stats_acceleration_diff,stats_agility_value,stats_agility_diff,stats_jumping_value,stats_jumping_diff,stats_stamina_value,stats_stamina_diff,stats_strength_value,stats_strength_diff,stats_awareness_value,stats_awareness_diff,stats_bCVision_value,stats_bCVision_diff,stats_blockShedding_value,stats_blockShedding_diff,stats_breakSack_value,stats_breakSack_diff,stats_breakTackle_value,stats_breakTackle_diff,stats_carrying_value,stats_carrying_diff,stats_catchInTraffic_value,stats_catchInTraffic_diff,stats_catching_value,stats_catching_diff,stats_changeOfDirection_value,stats_changeOfDirection_diff,stats_deepRouteRunning_value,stats_deepRouteRunning_diff,stats_finesseMoves_value,stats_finesseMoves_diff,stats_hitPower_value,stats_hitPower_diff,stats_impactBlocking_value,stats_impactBlocking_diff,stats_injury_value,stats_injury_diff,stats_jukeMove_value,stats_jukeMove_diff,stats_kickAccuracy_value,stats_kickAccuracy_diff,stats_kickPower_value,stats_kickPower_diff,stats_kickReturn_value,stats_kickReturn_diff,stats_leadBlock_value,stats_leadBlock_diff,stats_manCoverage_value,stats_manCoverage_diff,stats_mediumRouteRunning_value,stats_mediumRouteRunning_diff,stats_overall_value,stats_overall_diff,stats_passBlock_value,stats_passBlock_diff,stats_passBlockFinesse_value,stats_passBlockFinesse_diff,stats_passBlockPower_value,stats_passBlockPower_diff,stats_playAction_value,stats_playAction_diff,stats_playRecognition_value,stats_playRecognition_diff,stats_powerMoves_value,stats_powerMoves_diff,stats_press_value,stats_press_diff,stats_pursuit_value,stats_pursuit_diff,stats_runBlock_value,stats_runBlock_diff,stats_runBlockFinesse_value,stats_runBlockFinesse_diff,stats_runBlockPower_value,stats_runBlockPower_diff,stats_runningStyle_value,stats_runningStyle_diff,stats_shortRouteRunning_value,stats_shortRouteRunning_diff,stats_spectacularCatch_value,stats_spectacularCatch_diff,stats_speed_value,stats_speed_diff,stats_spinMove_value,stats_spinMove_diff,stats_stiffArm_value,stats_stiffArm_diff,stats_tackle_value,stats_tackle_diff,stats_throwAccuracyDeep_value,stats_throwAccuracyDeep_diff,stats_throwAccuracyMid_value,stats_throwAccuracyMid_diff,stats_throwAccuracyShort_value,stats_throwAccuracyShort_diff,stats_throwOnTheRun_value,stats_throwOnTheRun_diff,stats_throwPower_value,stats_throwPower_diff,stats_throwUnderPressure_value,stats_throwUnderPressure_diff,stats_toughness_value,stats_toughness_diff,stats_trucking_value,stats_trucking_diff,stats_zoneCoverage_value,stats_zoneCoverage_diff,conference_id,conference_label,conference_imageUrl,team_id,team_label,team_imageUrl,team_isPopular,position_id,position_shortLabel,position_label,position_positionType_id,position_positionType_name,iteration_id,iteration_label
4121,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",Fernando,Mendoza,77,65,99,Miami,Florida,Previous,15,Junior,86,1,86,1,83,4,98,1,75,1,99,1,85,2,48,0,83,1,77,2,75,1,33,0,35,0,85,1,31,0,44,0,59,0,48,0,96,0,84,2,33,0,35,0,25,0,48,0,25,0,32,0,99,1,45,0,46,0,43,0,99,0,64,0,51,0,31,0,38,0,51,0,44,0,49,0,0,0,32,0,35,0,83,0,76,0,75,0,56,0,89,0,95,1,97,0,88,1,93,0,96,1,99,0,75,1,22,0,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,False,QB,QB,Quarterback,offense,Offense,cfb-26-national-championship,National Championship
8726,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/72.png?im=FaceCrop,padding=0.7",Jeremiah,Smith,75,63,98,Miami Gardens,Florida,Eligible,4,Sophomore,96,0,95,0,97,0,93,0,79,0,92,0,94,0,51,0,60,0,84,0,75,0,98,0,95,0,93,0,97,0,44,0,63,0,59,0,96,0,92,0,35,0,36,0,80,0,55,0,62,0,97,0,98,0,40,0,39,0,41,0,32,0,66,0,41,0,64,0,70,0,62,0,56,0,55,0,0,0,97,0,99,0,95,0,88,0,75,0,54,0,33,0,37,0,35,0,55,0,43,0,35,0,97,0,72,0,60,0,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,72,Ohio State,https://drop-assets.ea.com/images/1dUQVKJBqNFYCpHzWMkzHV/a3d0913ebb0be4b2a7f1002af985cd98/OhioState.png,False,WR,WR,Wide Receiver,offense,Offense,cfb-26-national-championship,National Championship
22723,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/52.png?im=FaceCrop,padding=0.7",Rueben,Bain Jr.,75,110,98,Miami,Florida,Eligible,4,Junior,95,0,87,0,82,0,93,0,92,0,98,0,52,0,93,0,33,0,44,0,57,0,46,0,62,0,74,0,46,0,95,0,91,0,87,0,90,0,46,0,24,0,25,0,34,0,55,0,44,0,43,0,98,0,51,0,52,0,52,0,33,0,99,0,98,0,40,0,99,0,59,0,55,0,57,0,0,0,43,0,47,0,84,0,45,0,55,0,85,0,33,0,12,0,24,0,24,0,11,0,25,0,93,0,59,0,48,0,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,52,Miami,https://drop-assets.ea.com/images/4cmIyUOVj1BdzyI08TJuTV/09d58d278cc60608c23a8894a74b5c50/Miami.png,False,RE,REDG,Right Edge,defense,Defense,cfb-26-national-championship,National Championship
4674,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/72.png?im=FaceCrop,padding=0.7",Caleb,Downs,72,45,97,Hoschton,Georgia,Eligible,2,Junior,95,0,95,0,91,0,99,0,74,0,88,0,77,0,72,0,57,0,65,0,68,0,64,0,75,0,92,0,47,0,61,0,94,0,72,0,97,0,85,0,32,0,32,0,87,0,59,0,87,0,46,0,97,0,49,0,48,0,47,0,36,0,92,0,55,0,88,0,98,0,53,0,56,0,55,0,0,0,47,0,79,0,93,0,79,0,75,0,85,0,37,0,43,0,45,0,49,0,48,0,35,0,96,0,71,0,85,0,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,72,Ohio State,https://drop-assets.ea.com/images/1dUQVKJBqNFYCpHzWMkzHV/a3d0913ebb0be4b2a7f1002af985cd98/OhioState.png,False,FS,FS,Free Safety,defense,Defense,cfb-26-national-championship,National Championship
4553,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/98.png?im=FaceCrop,padding=0.7",David,Bailey,75,90,97,Irvine,California,Eligible,31,Senior,94,0,89,0,85,0,85,0,82,0,99,0,35,0,79,0,34,0,40,0,56,0,41,0,53,0,77,0,37,0,99,0,89,0,75,0,92,0,64,0,25,0,36,0,44,0,56,0,64,0,40,0,97,0,67,0,59,0,52,0,39,0,97,0,89,0,55,0,98,0,58,0,52,0,62,0,0,0,37,0,38,0,86,0,55,0,51,0,84,0,35,0,23,0,17,0,21,0,13,0,39,0,92,0,59,0,74,0,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,98,Texas Tech,https://drop-assets.ea.com/images/2Lxte8K570VxzhDqT7gPqO/3b7e01ad825eab235b7b517a069d5490/TexasTech.png,False,LE,LEDG,Left Edge,defense,Defense,cfb-26-national-championship,National Championship
6319,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/98.png?im=FaceCrop,padding=0.7",Jacob,Rodriguez,73,75,97,Wichita Falls,Texas,Previous,10,Senior,90,0,84,0,88,0,92,0,82,0,98,0,43,0,81,0,56,0,44,0,56,0,50,0,74,0,83,0,40,0,55,0,90,0,77,0,85,0,38,0,28,0,42,0,44,0,58,0,77,0,39,0,97,0,69,0,60,0,57,0,58,0,99,0,75,0,38,0,97,0,61,0,56,0,66,0,0,0,38,0,49,0,82,0,42,0,42,0,93,0,60,0,55,0,70,0,55,0,84,0,53,0,91,0,42,0,85,0,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,98,Texas Tech,https://drop-assets.ea.com/images/2Lxte8K570VxzhDqT7gPqO/3b7e01ad825eab235b7b517a069d5490/TexasTech.png,False,ROLB,WILL,Will Backer,defense,Defense,cfb-26-national-championship,National Championship
4080,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/70.png?im=FaceCrop,padding=0.7",Jeremiyah,Love,72,54,97,St. Louis,Missouri,Eligible,4,Junior,95,0,93,0,97,0,92,0,75,0,90,0,95,0,51,0,61,0,92,0,96,0,71,0,73,0,92,0,57,0,39,0,55,0,65,0,93,0,92,0,32,0,33,0,91,0,59,0,55,0,65,0,97,0,56,0,52,0,57,0,30,0,62,0,39,0,52,0,58,0,52,0,55,0,51,0,0,0,71,0,67,0,95,0,87,0,77,0,52,0,45,0,47,0,51,0,51,0,55,0,35,0,94,0,79,0,51,0,Independent,Independent,https://drop-assets.ea.com/images/3V21BpfMB6pMbz8BVB5bCz/0bf067051c9eee0dddbaebb8b4e815c2/Independent.png,70,Notre Dame,https://drop-assets.ea.com/images/4wmDuMxQ4HuXYLQwzMSRzs/1373b45326a9955e0ee122112c848131/NotreDame.png,False,HB,HB,Halfback,offense,Offense,cfb-26-national-championship,National Championship
2569,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",Carter,Smith,77,153,96,Powell,Ohio,Previous,65,Junior,76,0,73,0,73,0,92,0,90,0,98,0,35,0,44,0,46,0,35,0,55,0,41,0,39,0,60,0,37,0,46,0,45,0,91,0,93,0,36,0,30,0,25,0,39,0,90,0,40,0,35,0,96,-1,96,-1,97,0,94,-2,47,0,36,0,43,0,35,0,42,0,88,0,90,0,85,0,0,0,39,0,40,0,68,0,41,0,37,0,37,0,25,0,15,0,16,0,20,0,21,0,37,0,87,0,33,0,40,0,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,False,LT,LT,Left Tackle,offense,Offense,cfb-26-national-championship,National Championship
21786,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/5.png?im=FaceCrop,padding=0.7",Jordyn,Tyson,74,40,96,Allen,Texas,Previous,0,Junior,93,0,93,0,94,0,95,0,67,0,95,0,91,0,40,0,41,0,79,0,72,0,93,0,95,0,90,0,94,0,31,0,44,0,54,0,87,0,89,0,25,0,27,0,74,0,50,0,36,0,98,0,96,0,42,0,40,0,42,0,25,0,49,0,32,0,44,0,39,0,59,0,52,0,49,0,0,0,96,0,94,0,91,0,85,0,62,0,40,0,33,0,35,0,40,0,44,0,44,0,31,0,84,0,62,0,42,0,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,5,Arizona State,https://drop-assets.ea.com/images/5pFddBjaYeS9G63Ys57cQM/ff323352aaffa3d9b56d22952b53db0c/ArizonaState.png,False,WR,WR,Wide Receiver,offense,Offense,cfb-26-national-championship,National Championship
23003,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/70.png?im=FaceCrop,padding=0.7",Leonard,Moore,74,35,96,Round Rock,Texas,Eligible,15,Sophomore,95,0,96,0,93,0,92,0,65,0,90,0,75,0,61,0,32,0,73,0,55,0,65,0,75,0,95,0,33,0,44,0,76,0,64,0,93,0,82,0,34,0,35,0,64,0,54,0,98,0,35,0,96,0,42,0,42,0,42,0,27,0,94,0,32,0,93,0,86,0,44,0,45,0,45,0,0,0,45,0,71,0,92,0,77,0,60,0,70,0,31,0,13,0,16,0,27,0,36,0,39,0,84,0,51,0,97,0,Independent,Independent,https://drop-assets.ea.com/images/3V21BpfMB6pMbz8BVB5bCz/0bf067051c9eee0dddbaebb8b4e815c2/Independent.png,70,Notre Dame,https://drop-assets.ea.com/images/4wmDuMxQ4HuXYLQwzMSRzs/1373b45326a9955e0ee122112c848131/NotreDame.png,False,CB,CB,Cornerback,defense,Defense,cfb-26-national-championship,National Championship
