Name,Player ID,Helmet URL,Height (in),Height,Overall Rating,Jersey #,Class Year,Redshirt Status,Hometown,Home State,Team ID,Team,Team Logo URL,Conference ID,Conference,Conference Logo URL,Position ID,Position (Short),Position,Unit,Unit ID,Speed,Acceleration,Strength,Agility,Awareness,Jumping,Injury,Stamina,Toughness,Carrying,Break Tackle,Trucking,Change of Direction,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Break Sack,Run Block,Pass Block,Impact Blocking,Run Block Power,Run Block Finesse,Pass Block Power,Pass Block Finesse,Lead Block,Throw Power,Throw Under Pressure,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Throw on the Run,Play Action,Tackle,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press,Catching,Spectacular Catch,Catch in Traffic,Short Route Running,Medium Route Running,Deep Route Running,Kick Accuracy,Kick Power,Kick Return,runningStyle,Iteration ID,Iteration
Fernando Mendoza,4121,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",77,"6'5""",99,15,Junior,Previous,Miami,Florida,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,QB,QB,Quarterback,Offense,offense,83,86,75,86,99,83,96,98,99,75,77,75,85,85,75,76,84,83,51,45,48,49,44,43,46,48,93,96,97,95,89,88,99,56,51,44,48,38,64,25,22,59,31,35,35,33,32,32,31,33,35,25,0,cfb-26-national-championship,National Championship
Jeremiah Smith,8726,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/72.png?im=FaceCrop,padding=0.7",75,"6'3""",98,4,Sophomore,Eligible,Miami Gardens,Florida,72,Ohio State,https://drop-assets.ea.com/images/1dUQVKJBqNFYCpHzWMkzHV/a3d0913ebb0be4b2a7f1002af985cd98/OhioState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,WR,WR,Wide Receiver,Offense,offense,95,96,79,95,92,97,96,93,97,75,84,72,93,94,75,88,92,60,62,40,59,55,56,41,39,55,43,35,35,37,33,55,32,54,41,44,51,70,66,62,60,63,64,95,99,98,97,97,97,35,36,80,0,cfb-26-national-championship,National Championship
Rueben Bain Jr.,22723,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/52.png?im=FaceCrop,padding=0.7",75,"6'3""",98,4,Junior,Eligible,Miami,Florida,52,Miami,https://drop-assets.ea.com/images/4cmIyUOVj1BdzyI08TJuTV/09d58d278cc60608c23a8894a74b5c50/Miami.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,RE,REDG,Right Edge,Defense,defense,84,95,92,87,98,82,90,93,93,57,44,59,74,52,55,45,46,33,59,51,87,57,55,52,52,55,11,25,24,12,33,24,33,85,98,95,93,99,99,44,48,91,40,62,47,46,43,43,46,24,25,34,0,cfb-26-national-championship,National Championship
Caleb Downs,4674,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/72.png?im=FaceCrop,padding=0.7",72,"6'0""",97,2,Junior,Eligible,Hoschton,Georgia,72,Ohio State,https://drop-assets.ea.com/images/1dUQVKJBqNFYCpHzWMkzHV/a3d0913ebb0be4b2a7f1002af985cd98/OhioState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,FS,FS,Free Safety,Defense,defense,93,95,74,95,88,91,97,99,96,68,65,71,92,77,75,79,85,57,53,49,72,55,56,47,48,59,48,35,45,43,37,49,36,85,55,61,72,98,92,87,85,94,88,75,79,64,47,46,47,32,32,87,0,cfb-26-national-championship,National Championship
David Bailey,4553,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/98.png?im=FaceCrop,padding=0.7",75,"6'3""",97,31,Senior,Eligible,Irvine,California,98,Texas Tech,https://drop-assets.ea.com/images/2Lxte8K570VxzhDqT7gPqO/3b7e01ad825eab235b7b517a069d5490/TexasTech.png,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,LE,LEDG,Left Edge,Defense,defense,86,94,82,89,99,85,92,85,92,56,40,59,77,35,51,55,64,34,58,67,75,62,52,52,59,56,13,39,17,23,35,21,39,84,89,99,79,98,97,64,74,89,55,53,38,41,37,40,37,25,36,44,0,cfb-26-national-championship,National Championship
Jacob Rodriguez,6319,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/98.png?im=FaceCrop,padding=0.7",73,"6'1""",97,10,Senior,Previous,Wichita Falls,Texas,98,Texas Tech,https://drop-assets.ea.com/images/2Lxte8K570VxzhDqT7gPqO/3b7e01ad825eab235b7b517a069d5490/TexasTech.png,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,ROLB,WILL,Will Backer,Defense,defense,82,90,82,84,98,88,85,92,91,56,44,42,83,43,42,42,38,56,61,69,77,66,56,57,60,58,84,53,70,55,60,55,58,93,75,55,81,97,99,77,85,90,38,74,49,50,38,39,40,28,42,44,0,cfb-26-national-championship,National Championship
Jeremiyah Love,4080,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/70.png?im=FaceCrop,padding=0.7",72,"6'0""",97,4,Junior,Eligible,St. Louis,Missouri,70,Notre Dame,https://drop-assets.ea.com/images/4wmDuMxQ4HuXYLQwzMSRzs/1373b45326a9955e0ee122112c848131/NotreDame.png,Independent,Independent,https://drop-assets.ea.com/images/3V21BpfMB6pMbz8BVB5bCz/0bf067051c9eee0dddbaebb8b4e815c2/Independent.png,HB,HB,Halfback,Offense,offense,95,95,75,93,90,97,93,92,94,96,92,79,92,95,77,87,92,61,52,56,65,51,55,57,52,59,55,35,51,47,45,51,30,52,39,39,51,58,62,55,51,55,52,73,67,71,71,65,57,32,33,91,0,cfb-26-national-championship,National Championship
Carter Smith,2569,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",77,"6'5""",96,65,Junior,Previous,Powell,Ohio,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,LT,LT,Left Tackle,Offense,offense,68,76,90,73,98,73,93,92,87,55,35,33,60,35,37,41,36,46,88,96,91,85,90,94,97,90,21,37,16,15,25,20,47,37,43,46,44,42,36,40,40,45,35,39,40,41,39,35,37,30,25,39,0,cfb-26-national-championship,National Championship
Jordyn Tyson,21786,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/5.png?im=FaceCrop,padding=0.7",74,"6'2""",96,0,Junior,Previous,Allen,Texas,5,Arizona State,https://drop-assets.ea.com/images/5pFddBjaYeS9G63Ys57cQM/ff323352aaffa3d9b56d22952b53db0c/ArizonaState.png,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,WR,WR,Wide Receiver,Offense,offense,91,93,67,93,95,94,87,95,84,72,79,62,90,91,62,85,89,41,59,42,54,49,52,42,40,50,44,31,40,35,33,44,25,40,32,31,40,39,49,36,42,44,44,95,94,93,96,98,94,25,27,74,0,cfb-26-national-championship,National Championship
Leonard Moore,23003,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/70.png?im=FaceCrop,padding=0.7",74,"6'2""",96,15,Sophomore,Eligible,Round Rock,Texas,70,Notre Dame,https://drop-assets.ea.com/images/4wmDuMxQ4HuXYLQwzMSRzs/1373b45326a9955e0ee122112c848131/NotreDame.png,Independent,Independent,https://drop-assets.ea.com/images/3V21BpfMB6pMbz8BVB5bCz/0bf067051c9eee0dddbaebb8b4e815c2/Independent.png,CB,CB,Cornerback,Defense,defense,92,95,65,96,90,93,93,92,84,55,73,51,95,75,60,77,82,32,44,42,64,45,45,42,42,54,36,39,16,13,31,27,27,70,32,44,61,86,94,98,97,76,93,75,71,65,45,35,33,34,35,64,0,cfb-26-national-championship,National Championship
